ticker,mentions,bullish_pct,bearish_pct,neutral_pct,sentiment_ratio,weighted_sentiment,avg_confidence
NVDL,5,80.0,20.0,0.0,4.0,51.0,77.0
ETH,107,84.11214953271028,14.953271028037381,0.9345794392523423,5.625000000000001,50.98130841121499,71.58878504672897
RDDT,63,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,50.952380952380935,70.7936507936508
DIA,103,85.43689320388349,14.563106796116504,1.0658141036401503e-14,5.866666666666666,50.87378640776701,69.32038834951456
MSOS,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,50.83333333333334,70.83333333333333
VKTX,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,50.83333333333333,70.83333333333333
DJI,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,50.83333333333333,67.5
BTCUS,21,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,50.476190476190474,69.04761904761905
PATH,14,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,50.35714285714285,71.78571428571429
TMDX,129,83.72093023255815,16.27906976744186,-7.105427357601002e-15,5.142857142857143,50.000000000000014,71.31782945736434
MCO,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,50.0,71.66666666666667
TMUS,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,50.0,71.66666666666667
AMZN,560,82.5,16.964285714285715,0.5357142857142847,4.863157894736842,49.95535714285705,72.61607142857143
GOOG,220,82.72727272727273,17.272727272727273,-7.105427357601002e-15,4.7894736842105265,49.72727272727271,73.0909090909091
BTC,408,83.08823529411765,16.42156862745098,0.49019607843136725,5.059701492537314,49.68137254901958,71.77696078431373
NQ,177,84.18079096045197,15.819209039548024,3.552713678800501e-15,5.32142857142857,49.49152542372881,70.11299435028249
SOL,49,81.63265306122449,16.3265306122449,2.0408163265306136,5.0,49.48979591836735,72.55102040816327
SMCI,324,84.5679012345679,15.432098765432098,3.552713678800501e-15,5.48,49.373456790123434,70.45370370370371
META,452,82.96460176991151,16.8141592920354,0.2212389380530908,4.934210526315789,49.13716814159284,71.570796460177
SNDL,5,80.0,20.0,0.0,4.0,49.00000000000001,73.0
ES,273,83.15018315018315,16.84981684981685,-3.552713678800501e-15,4.934782608695652,48.64468864468865,70.29304029304029
HHH,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,48.57142857142857,68.57142857142857
FSLR,30,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,48.33333333333332,72.0
TXN,5,80.0,20.0,0.0,4.0,48.0,74.0
CSU,12,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,47.91666666666667,67.91666666666667
NVDA,1228,82.41042345276874,17.42671009771987,0.16286644951139095,4.728971962616823,47.815960912052226,70.72312703583061
PYPL,98,81.63265306122449,17.346938775510203,1.0204081632653086,4.705882352941177,47.75510204081635,70.81632653061224
DKNG,24,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,47.49999999999999,69.58333333333333
ALAB,22,81.81818181818183,18.181818181818183,-1.0658141036401503e-14,4.5,47.272727272727266,72.27272727272727
PTLO,7,85.71428571428571,14.285714285714285,7.105427357601002e-15,6.0,47.14285714285714,68.57142857142857
RTX,5,80.0,20.0,0.0,4.0,46.99999999999999,71.0
SPRY,12,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,46.66666666666668,69.16666666666667
SPOT,36,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,46.66666666666666,71.38888888888889
K,14,78.57142857142857,21.428571428571427,3.552713678800501e-15,3.666666666666667,46.42857142857144,73.57142857142857
NNE,11,81.81818181818183,18.181818181818183,-1.0658141036401503e-14,4.5,46.36363636363637,69.0909090909091
TEAM,16,81.25,18.75,0.0,4.333333333333333,46.25,71.875
HD,5,80.0,20.0,0.0,4.0,46.00000000000001,72.0
CVS,10,80.0,20.0,0.0,4.0,46.0,70.0
DXCM,5,80.0,20.0,0.0,4.0,46.0,72.0
CSCO,15,80.0,20.0,0.0,4.0,46.0,73.33333333333333
WMT,25,80.0,20.0,0.0,4.0,45.99999999999999,72.0
MSFT,286,80.06993006993007,19.93006993006993,3.552713678800501e-15,4.017543859649122,45.83916083916081,72.0979020979021
CRVS,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,45.83333333333333,65.83333333333333
I,6,83.33333333333334,16.666666666666664,-7.105427357601002e-15,5.000000000000001,45.83333333333333,69.16666666666667
